Mesa_Num,Mesa_ID,Ruta,Estado
10,102234,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_10_102234.jpg,OK
11,102244,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_11_102244.jpg,OK
12,102254,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_12_102254.jpg,OK
13,102264,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_13_102264.jpg,OK
14,102274,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_14_102274.jpg,OK
15,102284,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_15_102284.jpg,OK
16,102204,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_16_102204.jpg,OK
17,102214,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_17_102214.jpg,OK
18,102224,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria  Nº 138  Comandante Luis Piedrabuena (Centro de Educación Física CEF 112)/mesa_18_102224.jpg,OK
1,103964,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria N 12 Hipolito Yrigoye/mesa_1_103964.jpg,OK
2,103974,ACTAS/Argentina/Buenos Aires/Escuela de Educación Primaria N 12 Hipolito Yrigoye/mesa_2_103974.jpg,OK
1,102984,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_1_102984.jpg,OK
2,102994,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_2_102994.jpg,OK
4,103014,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_4_103014.jpg,OK
5,103024,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_5_103024.jpg,OK
3,103004,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_3_103004.jpg,OK
7,103044,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_7_103044.jpg,OK
6,103034,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_6_103034.jpg,OK
8,103054,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_8_103054.jpg,OK
9,103064,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_9_103064.jpg,OK
10,103074,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_10_103074.jpg,OK
11,103084,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_11_103084.jpg,OK
12,103094,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria N°16 República Francesa/mesa_12_103094.jpg,OK
1,103844,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_1_103844.jpg,OK
4,103874,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_4_103874.jpg,OK
2,103854,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_2_103854.jpg,OK
3,103864,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_3_103864.jpg,OK
5,103884,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_5_103884.jpg,OK
6,103894,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_6_103894.jpg,OK
8,103914,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_8_103914.jpg,OK
7,103904,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_7_103904.jpg,OK
9,103924,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_9_103924.jpg,OK
10,103934,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_10_103934.jpg,OK
11,103944,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_11_103944.jpg,OK
12,103954,ACTAS/Argentina/Buenos Aires/Escuela De Educación Primaria Nº26 Lorenzo López/mesa_12_103954.jpg,OK
1,100814,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_1_100814.jpg,OK
3,100834,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_3_100834.jpg,OK
2,100824,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_2_100824.jpg,OK
4,100844,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_4_100844.jpg,OK
5,100854,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_5_100854.jpg,OK
6,100864,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield/mesa_6_100864.jpg,OK
1,101654,ACTAS/Argentina/Buenos Aires/Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla/mesa_1_101654.jpg,OK
2,101664,ACTAS/Argentina/Buenos Aires/Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla/mesa_2_101664.jpg,OK
3,101674,ACTAS/Argentina/Buenos Aires/Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla/mesa_3_101674.jpg,OK
5,101694,ACTAS/Argentina/Buenos Aires/Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla/mesa_5_101694.jpg,OK
4,101684,ACTAS/Argentina/Buenos Aires/Escuela de Jornada Completa Nº 16 D.E. 05 Sabina Bove de Bozalla/mesa_4_101684.jpg,OK
1,101024,ACTAS/Argentina/Buenos Aires/Escuela De Jornada Completa Nº 18 D.E. 20 República de Corea /mesa_1_101024.jpg,OK
